GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DbUtils,org.apache.commons.dbutils,ResultSetIterator,44,32,0,2,16,8,3,4,3,3
DbUtils,org.apache.commons.dbutils,ProxyFactory,0,115,0,0,0,25,0,10,0,10
DbUtils,org.apache.commons.dbutils,QueryLoader,30,42,2,2,8,10,3,5,1,5
DbUtils,org.apache.commons.dbutils,BasicRowProcessor,2,89,0,4,1,22,1,9,1,7
DbUtils,org.apache.commons.dbutils,BasicRowProcessor.CaseInsensitiveHashMap,33,13,2,0,9,2,4,2,3,2
DbUtils,org.apache.commons.dbutils,DbUtils,130,0,18,0,72,0,27,0,18,0
DbUtils,org.apache.commons.dbutils,BeanProcessor,272,375,50,52,49,85,36,26,0,11
DbUtils,org.apache.commons.dbutils,QueryRunner,344,0,12,0,87,0,32,0,26,0
DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,9,21,0,2,3,5,1,4,1,3
DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,51,0,4,0,15,0,6,0,4
DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,15,19,0,0,4,6,1,2,1,2
DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,46,0,2,0,13,0,5,0,4
DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,15,24,0,2,4,6,1,3,1,2
DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,9,11,0,0,3,4,1,2,1,2
DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,9,11,0,0,3,4,1,2,1,2
DbUtils,org.apache.commons.dbutils.handlers,MapHandler,9,16,0,2,3,4,1,3,1,2
DbUtils,org.apache.commons.dbutils.handlers,GenericListHandler,0,19,0,2,0,5,0,3,0,2
DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,15,82,0,4,3,19,1,9,1,7
DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,41,1,5,0,11,1,6,0,4
DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,7,287,1,7,1,100,2,48,1,45
