Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ArrayEnumeration",4,0.33,1.25,13,0.09,1156.11,6,2,3,4,0,181.41,5,26,2.00
"ArrayIterator",7,0.08,1.00,17,0.12,1563.89,9,2,1,7,0,186.82,9,25,2.00
"ArrayStack",6,0.00,2.00,27,0.28,7487.23,6,0,3,6,0,72.64,50,43,6.00
"BeanMap",28,0.04,1.93,158,1.73,56930.30,34,6,14,29,4,166.12,24,242,21.00
"BeanMap$Iterator",3,0.00,1.00,8,0.05,637.65,3,0,14,3,0,136.55,0,12,3.00
"BeanMap$Iterator_7",3,0.00,1.00,9,0.07,1103.10,3,0,14,3,1,132.77,0,13,4.00
"BeanMap$MyMapEntry",2,1.00,1.00,12,0.10,1978.24,3,1,14,2,2,168.16,2,15,7.00
"BeanMap$Transformer",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_0",1,0.00,1.00,3,0.03,342.66,1,0,14,1,0,133.01,0,5,6.00
"BeanMap$Transformer_1",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_2",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_3",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_4",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_5",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BeanMap$Transformer_6",1,0.00,1.00,3,0.02,243.78,1,0,14,1,0,134.18,0,5,5.00
"BinaryHeap",16,0.13,1.94,89,0.94,46739.74,20,4,1,16,1,101.80,76,146,14.00
"Closure",1,0.00,1.00,2,0.01,84.05,1,0,0,1,1,184.27,2,3,0.00
"CollectionUtils",21,0.00,2.57,162,1.99,68673.92,21,0,9,21,5,76.83,127,200,23.00
"CursorableLinkedList",45,0.00,2.33,301,3.41,130070.59,49,4,14,47,2,62.43,409,376,18.00
"CursorableLinkedList$Cursor",10,0.67,2.20,50,0.43,11812.45,11,1,14,10,0,120.23,0,70,11.00
