Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"ArrayEnumeration",4,0.33,1.50,15,0.11,1986.14,6,2,3,4,0,153.75,11,30,2.00,0.00,2,0.00,0,0,2,0,1,1,0.75,0.00,java.lang.Object,128.01,0,1,0,339.60,0,88,0.00,6,2,0,2,1
"ArrayIterator",4,0.00,1.00,9,0.06,477.97,4,0,0,4,2,114.13,53,15,0.00,4.00,1,0.50,0,1,4,1,2,5,0.00,0.00,org.apache.commons.collections.iterators.ArrayIterator,141.27,0,0,0,191.01,0,60,0.14,4,0,1,1,0
"ArrayIterator",10,0.04,1.40,38,0.31,5415.88,13,3,3,10,0,83.96,111,61,4.00,10.00,3,0.00,1,0,7,0,1,19,0.37,1.00,java.lang.Object,127.52,0,1,0,926.96,0,228,0.00,14,3,0,1,3
"ArrayStack",10,1.00,1.70,46,0.40,12695.78,11,1,2,10,2,71.57,93,68,6.00,10.00,3,0.50,0,1,2,2,2,14,0.00,0.00,java.util.ArrayList,121.45,0,1,0,1199.27,3,281,0.00,17,8,0,1,2
"Bag",11,0.00,1.00,12,1.36,28399.07,11,0,3,11,8,95.30,114,13,0.00,11.00,1,0.50,0,1,0,0,2,121,0.00,0.00,,142.49,0,0,0,4094.59,0,884,0.00,11,11,8,1,0
"BagUtils",7,0.00,1.00,14,0.11,1690.60,7,0,2,7,3,131.83,106,22,7.00,7.00,1,0.00,0,0,1,3,1,8,0.00,0.00,java.lang.Object,140.78,0,0,0,329.54,0,96,0.00,7,6,0,1,0
"BagUtils$PredicatedBag",6,0.00,1.00,14,0.11,1295.65,6,0,2,6,2,138.66,0,23,4.00,6.00,1,0.50,0,1,1,2,2,0,0.00,0.00,CollectionUtils.PredicatedCollection,138.66,0,1,0,337.49,1,98,0.00,6,5,0,1,1
"BagUtils$PredicatedSortedBag",5,0.00,1.00,11,0.07,694.89,5,0,2,5,2,141.12,0,19,4.00,5.00,1,0.50,0,1,1,2,2,0,0.00,0.00,org.apache.commons.collections.PredicatedBag,141.12,0,1,0,202.81,0,65,0.00,5,4,0,1,1
"BagUtils$SynchronizedBag",6,0.00,1.00,13,0.11,1428.99,6,0,2,6,1,139.53,0,22,4.00,6.00,1,0.50,0,1,1,1,2,0,0.00,0.00,CollectionUtils.SynchronizedCollection,139.53,0,1,0,329.22,0,95,0.00,6,5,0,1,1
"BagUtils$SynchronizedSortedBag",5,0.00,1.00,11,0.07,802.86,5,0,2,5,1,140.63,0,19,4.00,5.00,1,0.50,0,1,1,1,2,0,0.00,0.00,org.apache.commons.collections.SynchronizedBag,140.63,0,1,0,205.06,0,65,0.00,5,4,0,1,1
"BagUtils$UnmodifiableBag",6,0.00,1.00,13,0.10,952.02,6,0,2,6,1,140.92,0,22,6.00,6.00,1,0.50,0,1,1,1,2,0,0.00,0.00,CollectionUtils.UnmodifiableCollection,140.92,0,1,0,295.06,0,87,0.00,6,5,0,1,0
"BagUtils$UnmodifiableSortedBag",5,0.00,1.00,11,0.06,654.73,5,0,2,5,1,141.33,0,19,4.00,5.00,1,0.50,0,1,1,1,2,0,0.00,0.00,org.apache.commons.collections.UnmodifiableBag,141.33,0,1,0,189.63,0,62,0.00,5,4,0,1,1
"BeanMap",29,0.04,2.21,180,2.24,78582.58,35,6,15,30,6,64.34,277,293,23.00,268.00,8,0.50,0,1,10,1,2,51,0.13,0.00,java.util.AbstractMap,113.88,1,1,1,6705.47,2,1375,0.00,64,19,5,1,15
"BeanMap$AbstractSet",2,0.00,1.00,5,0.13,2668.86,2,0,15,2,1,131.31,0,7,3.00,2.00,1,0.00,0,0,0,1,1,0,0.00,0.00,java.lang.Object,131.31,0,0,0,394.24,0,87,0.00,2,2,0,1,0
"BeanMap$AbstractSet$Iterator",3,0.50,1.00,9,0.07,1022.98,4,1,15,5,2,133.03,0,15,4.00,1.00,1,0.00,0,0,1,2,1,0,0.67,0.00,java.lang.Object,133.03,2,0,2,214.68,1,61,0.00,3,2,0,0,0
"BeanMap$Iterator",3,0.00,1.00,8,0.05,637.65,3,0,15,3,0,136.55,0,12,3.00,3.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,136.55,0,0,0,145.42,1,42,0.00,3,2,0,1,0
"BeanMap$Iterator_7",3,0.00,1.00,9,0.07,1103.10,3,0,15,3,1,132.77,0,13,4.00,3.00,1,0.00,0,0,1,1,1,0,0.00,0.00,java.lang.Object,132.77,0,0,0,204.85,1,54,0.00,3,2,0,1,0
"BeanMap$MyMapEntry",2,1.00,1.00,12,0.10,1978.24,3,1,15,2,2,68.16,18,15,7.00,2.00,1,0.50,0,1,1,2,2,5,0.50,0.00,org.apache.commons.collections.DefaultMapEntry,118.16,0,0,0,295.59,2,75,0.00,2,1,0,2,0
