Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractBagDecorator",7,0.00,1.00,15,0.11,1185.48,7,0,3,7,4,146.80,26,24,4.00,7.00,1,0.20,3,1,2,2,2,5,0.00,1.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,140.87,0,1,0,319.75,1,97,0.00,7,5,2,2,1
"AbstractBidiMapDecorator",6,0.00,1.00,13,0.08,1025.78,6,0,3,6,5,125.57,29,21,4.00,10.00,1,0.12,6,1,1,3,2,4,0.00,3.00,org.apache.commons.collections.map.AbstractMapDecorator,140.66,0,1,0,251.25,0,80,0.00,6,5,2,2,1
"AbstractBufferDecorator",5,0.00,1.00,11,0.06,548.77,5,0,2,5,3,120.86,26,17,3.00,5.00,1,0.33,1,1,2,2,2,5,0.00,0.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,141.93,0,1,0,172.68,1,58,0.00,5,3,1,2,1
"AbstractCollectionDecorator",19,0.06,1.11,44,0.30,4017.68,20,1,2,19,4,178.72,38,66,9.00,0.00,2,0.00,42,0,3,0,1,5,0.95,42.00,java.lang.Object,138.83,0,1,0,888.71,0,260,0.00,21,16,4,2,0
"AbstractDualBidiMap",27,0.05,1.33,94,0.84,19382.16,32,5,10,28,18,106.01,142,127,15.00,0.00,3,0.00,2,0,5,6,1,21,0.16,2.00,java.lang.Object,127.99,1,1,1,2512.65,0,640,0.00,36,22,12,2,3
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.44,8808.93,13,4,10,9,3,169.56,12,63,8.00,0.00,3,0.00,0,0,3,3,1,3,0.50,0.00,java.lang.Object,120.99,0,1,0,1312.02,0,304,0.00,15,6,0,2,2
"AbstractDualBidiMap$EntrySet",3,0.00,2.00,17,0.23,8970.32,3,0,10,3,1,135.68,9,24,10.00,1.00,4,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,115.07,0,1,0,683.46,1,147,0.00,6,2,0,2,0
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.16,2753.17,6,3,10,3,2,117.70,12,24,6.00,1.00,2,0.50,0,1,2,2,2,3,0.67,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,117.46,0,0,0,480.82,2,112,0.50,4,1,0,2,0
"AbstractDualBidiMap$KeySet",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00,0.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,129.52,0,1,0,415.16,1,105,0.00,5,3,0,2,0
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.15,2822.09,6,3,10,3,2,124.27,11,24,3.00,1.00,2,0.50,0,1,2,2,2,2,0.56,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,117.38,0,0,0,453.65,2,107,0.50,4,1,0,2,0
"AbstractDualBidiMap$MapEntry",2,1.00,1.50,12,0.14,4717.27,3,1,10,2,2,105.84,9,17,8.00,2.00,2,0.50,0,1,1,2,2,2,0.50,0.00,org.apache.commons.collections.keyvalue.AbstractMapEntryDecorator,115.07,0,0,0,427.73,2,94,0.00,3,1,0,2,0
"AbstractDualBidiMap$Values",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00,0.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,129.52,0,1,0,415.16,1,105,0.00,5,3,0,2,0
"AbstractDualBidiMap$ValuesIterator",3,0.33,1.33,18,0.13,2152.86,6,3,10,3,2,126.07,11,23,2.00,1.00,2,0.50,0,1,2,2,2,3,0.56,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,119.18,0,0,0,382.58,2,94,0.50,4,1,0,2,0
"AbstractDualBidiMap$View",4,0.33,2.75,30,0.26,5967.59,5,1,10,4,2,138.47,11,42,6.00,0.00,5,0.50,0,1,2,2,2,3,0.75,0.00,org.apache.commons.collections.collection.AbstractCollectionDecorator,112.73,0,0,0,769.00,1,173,0.09,11,2,0,3,0
"AbstractEmptyIterator",14,0.00,1.00,28,0.15,1309.84,14,0,1,14,5,193.67,12,43,7.00,14.00,1,0.00,5,0,5,0,1,3,0.00,5.00,java.lang.Object,144.02,0,0,0,453.12,0,141,0.00,14,9,5,1,0
"AbstractHashedMap",50,0.00,2.12,347,3.52,134524.41,69,19,17,51,31,62.14,457,442,18.00,742.00,10,0.07,12,1,19,5,2,74,0.06,6.00,java.util.AbstractMap,112.12,1,1,1,10548.03,2,2228,0.00,106,31,26,1,22
"AbstractHashedMap$EntrySet",6,0.20,1.50,26,0.23,5785.37,7,1,17,6,1,171.31,4,36,8.00,0.00,3,0.50,0,1,2,1,2,1,0.83,0.00,java.util.AbstractSet,123.40,0,0,0,685.97,0,166,0.00,9,4,0,2,1
"AbstractHashedMap$EntrySetIterator",2,0.00,1.00,5,0.02,192.62,2,0,17,2,1,187.27,3,8,1.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.HashIterator,140.30,0,0,0,74.54,1,25,0.00,2,1,0,2,0
"AbstractHashedMap$HashEntry",7,0.21,1.29,30,0.34,11544.91,11,4,17,7,1,163.98,13,43,48.00,17.00,3,0.00,0,0,1,1,1,2,0.07,0.00,java.lang.Object,121.79,0,1,0,1034.41,0,252,0.00,9,6,0,2,2
"AbstractHashedMap$HashIterator",6,0.28,2.17,48,0.44,14660.05,11,5,17,6,1,158.70,8,63,6.00,0.00,4,0.00,0,0,2,1,1,1,0.43,0.00,java.lang.Object,110.13,0,1,0,1310.43,0,283,0.00,13,4,0,3,0
"AbstractHashedMap$HashMapIterator",5,0.00,1.60,20,0.17,3440.64,5,0,17,5,2,172.69,3,29,7.00,14.00,2,0.50,0,1,1,2,2,1,0.00,0.00,org.apache.commons.collections.map.HashIterator,125.83,0,1,0,511.24,2,126,0.00,8,4,0,2,0
"AbstractHashedMap$KeySet",6,0.20,1.00,17,0.11,1390.88,7,1,17,6,1,183.18,4,24,3.00,0.00,1,0.50,0,1,2,1,2,1,0.83,0.00,java.util.AbstractSet,135.27,0,0,0,318.33,0,93,0.00,6,4,0,2,0
