Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractAnyAllOnePredicateTest",4,0.00,1.00,14,0.20,3531.13,4,0,6,4,3,101.71,22,27,6.00
"AbstractArrayListTest",4,0.00,1.25,17,0.20,4033.16,4,0,2,4,2,154.34,10,25,7.00
"AbstractAvailableLocalesTest",4,0.33,1.75,27,0.33,16313.95,6,2,12,4,2,102.01,18,35,15.00
"AbstractBagDecorator",9,1.00,1.00,20,0.23,3781.83,10,1,3,9,5,162.34,25,38,5.00
"AbstractBagDecorator",7,0.00,1.00,15,0.11,1185.48,7,0,3,7,4,146.80,26,24,4.00
"AbstractBagTest",29,0.00,1.97,382,5.33,375747.36,29,0,15,29,14,121.96,80,462,27.00
"AbstractBagTest$TestBagUniqueSet",12,0.00,1.00,29,0.32,5367.75,12,0,15,12,2,135.60,0,53,14.00
"AbstractBidiMapDecorator",7,0.00,1.00,15,0.18,2988.60,7,0,4,7,5,140.77,27,30,7.00
"AbstractBidiMapDecorator",6,0.00,1.00,13,0.08,1025.78,6,0,3,6,5,125.57,29,21,4.00
"AbstractBidiMapTest",29,0.00,1.48,215,3.10,184402.84,29,0,10,29,13,152.40,50,291,29.00
"AbstractBidiMapTest$TestBidiMapEntrySet",2,0.00,3.00,41,0.73,56763.61,2,0,10,2,1,106.93,6,50,74.00
"AbstractBidiMapTest$TestBidiMapIterator",9,0.00,1.00,22,0.22,2693.71,9,0,10,9,4,170.48,2,40,6.00
"AbstractBidiMapTest$TestInverseBidiMap",12,0.09,1.00,27,0.24,3276.77,13,1,10,12,2,138.45,0,51,7.00
"AbstractBitwiseTrie",10,0.22,1.60,41,0.46,11344.28,12,2,5,10,3,112.69,46,57,8.00
"AbstractBitwiseTrie$BasicEntry",9,0.12,1.33,33,0.35,10816.94,12,3,5,9,0,173.30,6,50,17.00
"AbstractBufferDecorator",5,0.00,1.00,11,0.06,548.77,5,0,2,5,3,120.86,26,17,3.00
"AbstractClosureTest",2,0.00,1.00,5,0.05,885.21,2,0,3,2,2,182.06,3,8,5.00
"AbstractCollectionDecorator",19,0.06,1.11,44,0.30,4017.68,20,1,2,19,4,178.72,38,66,9.00
"AbstractCollectionDecorator",18,0.44,1.06,41,0.43,7922.02,20,2,3,18,9,152.62,58,76,9.00
"AbstractCollectionTest",48,0.49,2.81,603,7.62,459894.80,50,2,18,48,19,48.01,430,786,33.00
"AbstractComparatorTest",14,0.00,1.21,64,0.83,23110.95,14,0,9,14,8,108.97,65,97,11.00
"AbstractCompositePredicateTest",11,0.00,1.09,34,0.51,11670.59,11,0,7,11,2,110.77,55,51,12.00
"AbstractDualBidiMap",26,0.02,1.35,90,1.05,26997.54,32,6,10,26,19,108.32,131,142,14.00
"AbstractDualBidiMap",27,0.05,1.33,94,0.84,19382.16,32,5,10,28,18,106.01,142,127,15.00
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.44,8808.93,13,4,10,9,3,169.56,12,63,8.00
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.50,10900.19,13,4,10,9,3,168.83,12,74,7.00
"AbstractDualBidiMap$EntrySet",3,0.00,2.00,17,0.23,8970.32,3,0,10,3,1,135.68,9,24,10.00
"AbstractDualBidiMap$EntrySet",3,1.00,2.00,18,0.32,12643.15,4,1,10,3,1,126.69,10,27,14.00
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.16,2753.17,6,3,10,3,2,117.70,12,24,6.00
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.24,5029.12,6,3,10,3,2,115.64,12,26,6.00
"AbstractDualBidiMap$KeySet",4,1.00,1.25,14,0.20,3992.21,5,1,10,4,1,157.52,10,24,3.00
"AbstractDualBidiMap$KeySet",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.15,2822.09,6,3,10,3,2,124.27,11,24,3.00
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.18,3924.60,6,3,10,3,2,123.14,11,26,3.00
"AbstractDualBidiMap$MapEntry",2,1.00,1.50,11,0.17,4618.33,3,1,10,2,2,107.33,9,18,7.00
