Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractBagDecorator",7,0.00,1.00,15,0.11,1185.48,7,0,3,7,4,146.80,26,24,4.00
"AbstractBidiMapDecorator",6,0.00,1.00,13,0.08,1025.78,6,0,3,6,5,125.57,29,21,4.00
"AbstractBufferDecorator",5,0.00,1.00,11,0.06,548.77,5,0,2,5,3,120.86,26,17,3.00
"AbstractCollectionDecorator",19,0.06,1.11,44,0.30,4017.68,20,1,2,19,4,178.72,38,66,9.00
"AbstractDualBidiMap",27,0.05,1.33,94,0.84,19382.16,32,5,10,28,18,106.01,142,127,15.00
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.44,8808.93,13,4,10,9,3,169.56,12,63,8.00
"AbstractDualBidiMap$EntrySet",3,0.00,2.00,17,0.23,8970.32,3,0,10,3,1,135.68,9,24,10.00
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.16,2753.17,6,3,10,3,2,117.70,12,24,6.00
"AbstractDualBidiMap$KeySet",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.15,2822.09,6,3,10,3,2,124.27,11,24,3.00
"AbstractDualBidiMap$MapEntry",2,1.00,1.50,12,0.14,4717.27,3,1,10,2,2,105.84,9,17,8.00
"AbstractDualBidiMap$Values",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00
"AbstractDualBidiMap$ValuesIterator",3,0.33,1.33,18,0.13,2152.86,6,3,10,3,2,126.07,11,23,2.00
"AbstractDualBidiMap$View",4,0.33,2.75,30,0.26,5967.59,5,1,10,4,2,138.47,11,42,6.00
"AbstractEmptyIterator",14,0.00,1.00,28,0.15,1309.84,14,0,1,14,5,193.67,12,43,7.00
"AbstractHashedMap",50,0.00,2.12,347,3.52,134524.41,69,19,17,51,31,62.14,457,442,18.00
"AbstractHashedMap$EntrySet",6,0.20,1.50,26,0.23,5785.37,7,1,17,6,1,171.31,4,36,8.00
"AbstractHashedMap$EntrySetIterator",2,0.00,1.00,5,0.02,192.62,2,0,17,2,1,187.27,3,8,1.00
"AbstractHashedMap$HashEntry",7,0.21,1.29,30,0.34,11544.91,11,4,17,7,1,163.98,13,43,48.00
"AbstractHashedMap$HashIterator",6,0.28,2.17,48,0.44,14660.05,11,5,17,6,1,158.70,8,63,6.00
"AbstractHashedMap$HashMapIterator",5,0.00,1.60,20,0.17,3440.64,5,0,17,5,2,172.69,3,29,7.00
"AbstractHashedMap$KeySet",6,0.20,1.00,17,0.11,1390.88,7,1,17,6,1,183.18,4,24,3.00
"AbstractHashedMap$KeySetIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00
"AbstractHashedMap$Values",5,0.25,1.00,13,0.07,772.18,6,1,17,5,1,187.35,4,19,3.00
"AbstractHashedMap$ValuesIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00
"AbstractInputCheckedMapDecorator",5,0.00,1.20,12,0.07,977.48,5,0,7,5,9,93.30,54,20,3.00
"AbstractInputCheckedMapDecorator$EntrySet",4,0.33,2.25,31,0.34,16404.65,5,1,7,4,2,144.34,9,35,10.00
"AbstractInputCheckedMapDecorator$EntrySetIterator",2,1.00,1.00,8,0.06,938.94,3,1,7,2,2,167.16,4,11,11.00
