Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractConfiguration",53,0.17,2.51,349,4.28,220587.41,58,5,13,53,9,96.03,257,734,18.00
"AbstractConfiguration$Predicate",1,0.00,1.00,4,0.04,831.53,1,0,13,1,0,125.32,0,8,5.00
"AbstractConfiguration$PropertiesTokenizer",2,0.00,2.00,13,0.14,4346.06,2,0,13,2,0,68.22,15,26,9.00
"AbstractFileConfiguration",20,0.11,2.10,95,0.94,25439.72,23,3,13,20,7,79.35,138,228,16.00
"BaseConfiguration",7,0.17,1.57,28,0.24,7286.88,8,1,5,8,18,76.40,71,58,6.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.09,727.27,7,1,0,6,5,95.20,42,31,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.05,632.46,2,0,0,2,1,82.57,16,15,3.00
"BaseNonStringProperties",25,0.02,1.00,76,0.76,11099.15,27,2,1,26,4,164.18,5,126,13.00
"BasePathConfiguration",2,1.00,1.00,6,0.03,305.94,3,1,0,2,3,115.63,28,12,0.00
"BasePathLoader",2,0.00,1.00,3,0.03,202.53,2,0,0,2,1,116.19,12,5,0.00
"BasePropertiesConfiguration",12,0.41,4.33,145,1.75,133428.36,14,2,16,12,6,98.12,193,280,33.00
"BasePropertiesConfiguration$PropertiesReader",2,0.00,3.00,18,0.19,8706.73,2,0,16,2,0,59.44,21,36,12.00
"BasePropertiesConfiguration$PropertiesWriter",4,0.00,1.50,19,0.20,4352.29,4,0,16,4,0,81.32,27,30,7.00
"ClassPropertiesConfiguration",3,0.00,3.00,22,0.28,9212.60,5,2,5,3,4,66.44,33,44,9.00
"ClassPropertiesConfiguration$PrivilegedAction",1,0.00,2.00,5,0.04,620.78,1,0,5,1,0,122.47,0,14,4.00
"CompositeConfiguration",20,0.03,2.05,123,1.14,30589.34,22,2,5,21,9,94.18,105,189,16.00
"Configuration",42,0.00,1.00,43,24.28,873918.04,42,0,6,42,38,91.48,456,45,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,3,96.19,8,4,0.00
"ConfigurationConverter",6,0.00,2.17,42,0.50,14975.12,6,0,7,6,6,71.31,41,69,22.00
"ConfigurationDynaBean",10,0.11,4.70,134,1.74,166618.51,12,2,9,11,5,80.11,48,209,26.00
"ConfigurationDynaClass",5,0.12,4.00,51,0.63,25088.53,7,2,9,6,2,82.25,26,94,24.00
"ConfigurationException",4,0.00,1.00,9,0.04,309.35,4,0,1,4,14,97.05,30,19,0.00
"ConfigurationFactory",18,0.00,1.50,96,1.00,26221.11,30,12,17,19,7,68.85,156,195,21.00
"ConfigurationFactory$AdditionalConfigurationData",4,0.00,1.00,11,0.05,361.71,6,2,17,4,1,94.84,29,21,1.00
"ConfigurationFactory$BasePathConfigurationFactory",2,0.00,1.00,7,0.05,833.59,2,0,17,2,1,79.85,18,13,9.00
"ConfigurationFactory$ConfigurationBuilder",6,0.00,1.67,32,0.30,6814.82,8,2,17,6,3,74.75,44,57,9.00
"ConfigurationFactory$DigesterConfigurationFactory",2,1.00,1.00,6,0.04,408.75,3,1,17,2,0,84.78,18,12,5.00
"ConfigurationFactory$FileConfigurationFactory",2,0.00,1.00,7,0.05,833.59,2,0,17,2,1,79.85,18,13,9.00
"ConfigurationFactory$HierarchicalConfigurationNodeConverter",4,0.17,1.25,18,0.16,3009.43,6,2,17,4,1,79.56,29,30,8.00
"ConfigurationFactory$JNDIConfigurationFactory",1,0.00,1.00,3,0.01,103.10,1,0,17,1,0,94.83,7,7,0.00
"ConfigurationKey",20,0.03,1.50,81,0.90,25767.02,27,7,3,20,15,77.23,152,151,21.00
"ConfigurationKey$KeyIterator",14,0.03,1.79,70,0.61,20718.81,20,6,3,14,0,75.17,102,132,7.00
"ConfigurationMap",4,0.33,1.00,13,0.11,1633.90,5,1,5,4,4,86.98,29,68,6.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.08,1343.84,4,1,5,3,1,157.67,7,23,4.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.06,597.18,5,1,5,4,0,138.81,0,21,3.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.08,1005.13,5,1,5,4,0,134.07,0,23,6.00
