Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbsoluteNameLocationStrategy",1,0.00,3.00,7,0.09,2061.02,1,0,3,1,6,138.97,19,16,13.00
"AbstractConfiguration",110,0.12,1.42,463,5.36,167148.03,117,7,30,110,59,80.41,765,928,17.00
"AbstractConfiguration$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,260.46,1,0,30,1,1,133.95,0,8,3.00
"AbstractEventListenerTestImpl",6,0.20,1.33,23,0.25,4635.33,8,2,5,6,5,91.98,37,43,5.00
"AbstractHierarchicalConfiguration",36,0.46,1.53,178,2.35,85279.71,38,2,24,36,10,74.37,398,345,22.00
"AbstractHierarchicalConfiguration$DefinedKeysVisitor",6,0.20,1.33,26,0.28,6205.83,8,2,24,6,0,93.08,35,46,10.00
"AbstractHierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.09,1624.23,4,1,24,3,0,86.73,23,21,25.00
"AbstractListDelimiterHandler",8,0.00,2.00,36,0.55,25839.98,8,0,5,8,6,80.98,96,73,15.00
"AbstractMultiFileConfigurationBuilderTest",5,0.25,1.20,18,0.18,2946.10,8,3,5,5,7,84.37,36,42,14.00
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.69,10524.91,15,5,3,10,9,104.11,47,105,10.00
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,71.17,15,27,4.00
"AbstractXPathTest",6,0.07,1.83,49,0.52,18503.29,14,8,9,6,4,60.40,49,71,11.00
"AlwaysReloadingDetector",2,0.00,1.00,4,0.02,146.96,2,0,0,2,2,112.62,12,12,1.00
"AppletConfiguration",3,0.50,1.33,15,0.17,6745.86,4,1,3,3,2,95.11,16,24,7.00
"AutoSaveListener",7,0.00,1.57,26,0.23,3734.08,11,4,7,8,7,79.02,69,57,11.00
"BaseConfiguration",10,0.11,1.50,44,0.56,19796.00,11,1,7,11,30,70.78,88,92,9.00
"BaseConfigurationBuilderProvider",16,0.09,1.56,76,0.92,25042.91,21,5,11,16,14,80.43,187,161,15.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,868.71,7,1,0,6,3,92.19,44,33,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,811.12,2,0,0,2,1,81.72,16,17,3.00
"BaseEventSource",17,0.06,1.53,65,0.80,20488.51,20,3,4,18,11,75.69,167,142,12.00
"BaseHierarchicalConfiguration",33,0.97,1.42,172,2.11,66584.03,34,1,24,33,39,69.80,264,340,20.00
"BaseHierarchicalConfiguration$BaseHierarchicalConfiguration",2,0.00,1.00,5,0.03,517.97,2,0,24,2,1,181.69,1,13,3.00
"BaseHierarchicalConfiguration$BuilderVisitor",5,0.00,2.60,36,0.47,36808.43,5,0,24,5,0,67.55,58,72,28.00
"BaseHierarchicalConfiguration$EventListener<ConfigurationEvent>",1,0.00,1.00,3,0.01,131.17,1,0,24,1,1,136.29,0,8,1.00
"BaseHierarchicalConfiguration$InterpolatedVisitor",13,0.25,1.38,51,0.70,18845.02,15,2,24,13,0,92.38,77,116,18.00
"BaseNonStringProperties",23,0.00,1.00,66,0.68,9498.51,25,2,3,24,4,166.48,5,137,12.00
"BasePathLocationStrategy",1,0.00,3.00,7,0.09,1642.49,1,0,3,1,6,152.76,21,18,13.00
"BaseWebConfiguration",5,0.00,1.20,14,0.16,3668.39,5,0,2,5,6,86.28,54,33,13.00
"BasicBuilderParameters",29,0.03,1.76,138,1.77,56453.02,41,12,13,29,34,69.50,268,304,18.00
"BasicBuilderProperties",11,0.00,1.00,12,1.64,28398.13,11,0,10,11,19,97.87,120,14,0.00
"BasicConfigurationBuilder",36,0.08,1.56,157,1.80,43915.40,42,6,20,36,42,75.17,372,295,15.00
"BasicConfigurationBuilder$BeanDeclaration",6,0.00,1.00,13,0.10,1175.49,6,0,20,6,1,184.96,3,33,5.00
"BeanCreationContext",5,0.00,1.00,6,0.23,3371.02,5,0,0,5,9,106.76,33,8,0.00
"BeanCreationTestBean",6,0.20,1.00,16,0.08,785.15,9,3,0,6,6,187.73,5,30,0.00
"BeanCreationTestBeanWithListChild",6,0.13,1.00,17,0.12,1424.29,9,3,2,7,3,185.19,6,31,0.00
"BeanCreationTestCtorBean",4,0.00,1.00,9,0.04,312.33,4,0,0,4,2,191.90,5,19,0.00
"BeanDeclaration",6,0.00,1.00,7,0.32,4279.34,6,0,2,6,19,95.87,53,9,0.00
"BeanDeclarationTestImpl",12,0.08,1.00,31,0.24,2881.96,18,6,2,12,4,184.56,8,64,0.00
"BeanFactory",2,0.00,1.00,3,0.05,577.00,2,0,0,2,6,100.70,22,5,0.00
"BeanHelper",23,0.12,2.26,140,1.83,83202.64,27,4,19,25,25,72.55,266,292,23.00
"BeanHelper$BeanCreationContextImpl",6,0.00,1.00,20,0.16,2511.15,10,4,19,6,3,170.51,12,40,4.00
"BuilderConfigurationWrapperFactory",6,0.80,1.50,23,0.31,11209.77,7,1,6,6,8,107.84,87,55,13.00
"BuilderConfigurationWrapperFactory$BuilderConfigurationWrapperInvocationHandler",4,0.17,1.25,15,0.21,4503.83,6,2,6,4,3,89.62,49,39,8.00
"BuilderConfigurationWrapperFactory$EventSourceSupport",0,0.00,0.00,1,0.01,15.51,0,0,6,0,0,171.00,34,6,0.00
"BuilderEventListenerImpl",4,0.17,1.25,18,0.20,4591.71,6,2,8,5,8,76.54,30,35,7.00
"BuilderParameters",1,1.00,1.00,3,0.03,273.15,2,1,1,1,36,142.92,17,5,0.00
"CatalogResolver",12,0.04,1.50,58,0.66,22375.04,19,7,17,13,10,69.38,109,107,17.00
"CatalogResolver$Catalog",3,0.00,5.33,62,0.90,47643.23,5,2,17,4,3,37.86,26,122,72.00
"CatalogResolver$CatalogManager",8,0.07,1.50,32,0.30,7895.97,12,4,17,9,2,110.96,38,63,5.00
"ClasspathLocationStrategy",1,0.00,1.00,3,0.05,798.35,1,0,2,1,6,148.25,18,9,49.00
"CombinedBeanDeclaration",7,0.00,2.71,60,0.52,20292.44,8,1,7,7,4,59.83,70,90,10.00
"CombinedBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,6,171.00,0,5,0.00
"CombinedBuilderParametersImpl",24,0.03,1.38,94,0.96,21765.47,32,8,13,24,17,75.41,210,193,13.00
"CombinedBuilderProperties",8,0.00,1.00,9,1.33,27138.70,8,0,5,8,8,107.42,100,14,0.00
"CombinedConfiguration",35,0.03,1.97,244,2.22,59324.99,44,9,25,38,30,77.85,428,473,16.00
"CombinedConfiguration$ConfigData",10,0.00,1.30,51,0.55,14172.19,15,5,25,10,3,74.38,74,98,14.00
"CombinedConfigurationBuilder",41,0.00,1.83,276,3.94,140442.71,91,50,39,46,48,103.67,624,566,100.00
"CombinedConfigurationBuilder$ConfigurationSourceData",13,0.07,1.69,73,0.92,26697.56,18,5,39,13,10,71.08,97,136,13.00
"CombinedConfigurationBuilder$ConfigurationSourceData$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,3,0.01,103.78,1,0,39,1,1,137.10,0,8,1.00
"CombinedConfigurationBuilder$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,5,0.03,366.95,1,0,39,1,2,124.50,0,12,2.00
"CombinedConfigurationBuilderProvider",4,0.07,1.25,21,0.29,6021.17,9,5,7,4,9,76.16,45,54,25.00
"CombinedLocationStrategy",3,0.50,2.33,19,0.17,4593.04,4,1,4,3,6,111.73,47,39,6.00
"CombinedReloadingController",5,0.00,1.60,25,0.22,7474.43,8,3,3,6,7,105.25,73,47,6.00
"CombinedReloadingController$MultiReloadingControllerDetector",3,0.00,2.00,18,0.09,1267.24,4,1,3,3,3,78.55,21,29,4.00
"CompositeConfiguration",25,0.04,2.40,190,1.74,58180.91,28,3,10,26,10,62.55,203,337,16.00
"Configuration",8,0.00,1.00,9,0.90,17878.28,8,0,5,8,92,104.92,96,12,0.00
"ConfigurationAssert",10,0.22,1.60,51,0.56,15187.91,14,4,12,11,50,71.91,78,80,10.00
"ConfigurationAttributePointer",14,0.38,1.07,35,0.32,4780.66,16,2,7,14,3,93.11,99,85,9.00
"ConfigurationBuilder",1,0.00,1.00,2,0.03,338.28,1,0,3,1,27,91.52,8,4,0.00
"ConfigurationBuilderEvent",2,3.00,1.00,8,0.12,3631.38,5,3,2,3,19,168.42,45,20,7.00
"ConfigurationBuilderProvider",1,0.00,1.00,2,0.02,289.00,1,0,3,1,12,91.68,10,6,0.00
"ConfigurationBuilderResultCreatedEvent",2,0.00,1.50,10,0.10,2211.72,4,2,2,3,10,159.91,42,25,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,5,96.19,8,4,0.00
"ConfigurationConverter",5,1.00,1.80,33,0.35,15222.00,6,1,6,5,8,63.80,41,61,20.00
"ConfigurationDeclaration",10,0.89,1.20,30,0.37,9331.43,11,1,3,10,14,79.86,86,76,17.00
"ConfigurationDecoder",1,0.00,1.00,2,0.01,68.50,1,0,0,1,7,95.09,9,4,0.00
"ConfigurationDynaBean",11,0.30,2.82,79,1.11,44180.66,13,2,10,12,6,108.50,45,153,25.00
"ConfigurationDynaClass",5,0.12,4.00,52,0.67,33194.96,7,2,9,6,2,118.52,16,101,24.00
"ConfigurationErrorEvent",5,0.06,1.00,23,0.23,5304.06,13,8,0,6,19,148.50,95,41,0.00
"ConfigurationEvent",4,0.03,1.00,25,0.36,11269.38,17,13,0,5,40,130.91,134,47,0.00
"ConfigurationException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,97,91.38,33,20,0.00
"ConfigurationInterpolator",22,0.02,1.59,96,0.89,24214.54,28,6,11,22,28,82.03,254,172,18.00
"ConfigurationInterpolator$StrLookup<Object>",1,0.00,1.00,4,0.04,1072.32,1,0,11,1,0,124.45,0,9,3.00
"ConfigurationLogger",16,0.93,1.12,38,0.29,4048.80,17,1,3,16,17,89.70,128,77,8.00
"ConfigurationLookup",3,0.50,1.33,10,0.07,857.52,4,1,1,3,7,89.69,34,22,3.00
"ConfigurationMap",5,0.25,1.00,15,0.15,2442.96,6,1,5,5,6,92.77,59,78,7.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.12,2461.08,4,1,5,3,1,128.56,11,24,7.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.09,1387.05,5,1,5,4,0,185.92,4,23,4.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.10,1349.47,5,1,5,4,0,183.06,4,25,6.00
