Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbsoluteNameLocationStrategy",1,0.00,3.00,7,0.10,2394.70,1,0,3,1,6,138.46,19,16,13.00,1.00,3,0.00,0,0,0,4,1,2,0.00,0.00,java.lang.Object,112.18,0,1,0,289.76,0,62,0.00,3,1,3,1,0
"AbstractCombinerTest",4,0.11,1.00,19,0.24,5211.28,7,3,10,5,11,83.20,26,34,17.00,0.00,1,0.00,3,0,2,8,1,4,0.42,3.00,java.lang.Object,121.00,1,0,1,734.95,2,165,0.00,4,2,3,2,1
"AbstractConfiguration",111,0.12,1.42,467,5.77,189493.89,118,7,30,111,59,78.76,790,936,17.00,1436.00,7,0.03,38,1,35,23,2,92,0.02,19.00,org.apache.commons.configuration2.event.BaseEventSource,121.94,0,1,0,17298.27,3,3784,0.00,158,76,37,2,57
"AbstractConfiguration$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,326.67,1,0,30,1,1,133.17,0,8,3.00,1.00,1,0.00,0,0,1,1,1,0,0.00,0.00,java.lang.Object,133.17,0,0,0,84.00,1,21,0.00,1,0,0,2,0
"AbstractEventListenerTestImpl",6,0.20,1.33,23,0.27,5297.19,8,2,5,6,5,91.52,37,43,5.00,0.00,2,0.00,2,0,5,3,1,6,0.67,2.00,java.lang.Object,125.73,0,1,0,795.85,3,183,0.00,8,1,2,2,0
"AbstractHierarchicalConfiguration",37,0.46,1.51,180,2.47,90461.32,39,2,24,37,20,72.93,398,345,22.00,165.00,6,0.12,14,2,11,16,3,42,0.05,4.67,org.apache.commons.configuration2.AbstractConfiguration,118.34,0,1,0,7408.23,10,1541,0.09,56,26,4,2,14
"AbstractHierarchicalConfiguration$DefinedKeysVisitor",6,0.20,1.33,26,0.30,7101.56,8,2,24,6,2,92.62,35,46,9.00,0.00,2,0.50,0,1,5,2,2,7,0.67,0.00,org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter,122.74,0,0,0,889.72,2,201,0.00,8,1,0,1,1
"AbstractHierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.09,1838.62,4,1,24,3,2,84.83,24,21,24.00,1.00,1,0.50,0,1,1,2,2,4,0.67,0.00,org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter,132.93,0,0,0,270.91,0,68,0.33,3,2,0,2,1
"AbstractImmutableNodeHandler",14,0.00,1.21,38,0.56,13269.77,14,0,4,14,8,163.21,34,89,15.00,14.00,3,0.00,2,0,0,4,1,5,0.00,2.00,java.lang.Object,131.10,0,1,0,1690.67,0,393,0.00,17,14,4,1,2
"AbstractImmutableNodeHandlerTest",26,0.00,1.19,136,2.33,71252.57,26,0,12,26,6,126.35,92,261,23.00,26.00,4,0.00,2,0,25,4,1,27,0.00,2.00,java.lang.Object,116.85,0,0,0,6983.82,6,1394,0.00,31,1,2,2,1
"AbstractImmutableNodeHandlerTest$DummyNodeMatcher",1,0.00,1.00,3,0.04,612.77,1,0,12,1,2,151.64,3,7,5.00,1.00,1,0.00,0,0,0,2,1,1,0.00,0.00,java.lang.Object,131.02,0,1,0,125.85,0,32,0.00,1,1,0,2,0
"AbstractImmutableNodeHandlerTest$NodeMatcher<ImmutableNode>",1,0.00,1.00,4,0.06,1291.90,1,0,12,1,2,123.81,0,10,7.00,1.00,1,0.00,0,0,0,2,1,0,0.00,0.00,java.lang.Object,123.81,0,0,0,169.64,0,37,0.00,1,1,0,2,0
"AbstractListDelimiterHandler",8,0.00,2.00,36,0.57,27986.70,8,0,5,8,6,80.70,96,73,15.00,8.00,7,0.00,3,0,1,2,1,10,0.00,3.00,java.lang.Object,118.27,0,1,0,1705.40,0,352,0.00,16,7,4,2,5
"AbstractMultiFileConfigurationBuilderTest",5,0.25,1.20,18,0.19,3417.19,8,3,5,5,7,83.86,36,42,14.00,11.00,2,0.00,2,0,3,5,1,5,0.13,2.00,java.lang.Object,127.65,0,0,0,577.18,0,143,0.00,6,2,2,1,2
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.69,10524.91,15,5,3,10,9,104.11,47,105,10.00,0.00,1,0.00,9,0,9,3,1,10,0.58,9.00,java.lang.Object,116.90,0,0,0,2067.04,0,468,0.00,10,1,6,2,1
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,71.17,15,27,4.00,0.00,1,0.25,2,1,2,2,2,3,1.00,1.00,org.apache.commons.configuration2.event.AbstractTestConfigurationEvents,116.89,0,0,0,426.40,0,100,0.00,2,0,2,2,0
"AbstractXPathTest",6,0.07,1.83,49,0.55,20506.73,14,8,9,6,7,60.05,49,71,11.00,18.00,3,0.00,4,0,3,3,1,6,0.19,4.00,java.lang.Object,108.73,0,0,0,1637.76,0,336,0.00,11,3,4,2,2
"AbstractYAMLBasedConfiguration",9,0.00,2.00,60,0.82,33295.87,9,0,9,9,7,61.93,78,101,14.00,9.00,3,0.57,2,4,5,5,5,11,0.00,0.40,org.apache.commons.configuration2.BaseHierarchicalConfiguration,111.71,0,0,0,2467.46,3,511,0.00,18,4,2,1,5
"AlwaysReloadingDetector",2,0.00,1.00,4,0.02,146.96,2,0,0,2,2,112.62,12,12,1.00,2.00,1,0.00,0,0,1,1,1,3,0.00,0.00,java.lang.Object,144.85,0,1,0,60.87,0,21,0.00,2,1,1,1,0
"AppletConfiguration",3,0.50,1.33,15,0.17,7475.66,4,1,3,3,2,94.76,16,24,7.00,1.00,2,0.75,0,3,1,1,4,2,0.67,0.00,org.apache.commons.configuration2.web.BaseWebConfiguration,117.87,0,0,0,522.18,1,114,0.03,4,2,1,1,0
"AutoSaveListener",7,0.00,1.57,26,0.24,4305.94,11,4,7,8,7,78.54,69,57,11.00,21.00,3,0.50,0,1,5,6,2,8,0.25,0.00,org.apache.commons.configuration2.io.FileHandlerListenerAdapter,127.42,1,1,1,733.18,0,176,0.00,11,2,2,0,2
"BaseConfiguration",10,0.11,1.50,44,0.58,21573.32,11,1,7,11,31,70.49,88,95,9.00,0.00,3,0.29,4,2,4,3,3,17,0.90,1.33,org.apache.commons.configuration2.AbstractConfiguration,120.40,1,1,1,1744.45,1,374,0.11,15,6,28,1,2
"BaseConfigurationBuilderProvider",16,0.09,1.56,76,0.97,28209.49,21,5,11,16,14,80.02,187,159,15.00,84.00,3,0.00,3,0,4,9,1,18,0.11,3.00,java.lang.Object,119.83,0,1,0,2918.02,0,625,0.00,25,12,5,1,14
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,949.15,7,1,0,6,3,91.89,44,33,3.00,10.00,1,0.50,0,1,4,2,2,7,0.33,0.00,org.apache.commons.configuration2.ConfigurationXMLReader,136.58,0,0,0,296.67,4,86,0.13,6,2,1,1,2
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,1005.81,2,0,0,2,1,80.98,16,17,3.00,2.00,2,0.50,0,1,2,1,2,3,0.00,0.00,org.apache.commons.configuration2.HierarchicalConfigurationConverter,129.09,0,0,0,192.17,3,49,0.00,3,0,0,0,0
"BaseEventSource",17,0.06,1.53,65,0.86,23091.89,20,3,4,18,11,75.28,167,142,12.00,13.00,4,0.00,40,0,9,8,1,16,0.27,40.00,java.lang.Object,124.25,1,1,1,2569.18,1,568,0.00,26,8,3,1,4
"BaseHierarchicalConfiguration",33,0.97,1.42,173,2.21,71897.54,34,1,24,33,56,69.44,264,338,18.00,91.00,5,0.19,12,3,6,21,4,35,0.06,3.00,org.apache.commons.configuration2.AbstractHierarchicalConfiguration,117.54,0,1,0,6621.43,14,1392,0.06,47,27,37,1,18
"BaseHierarchicalConfiguration$BaseHierarchicalConfiguration",2,0.00,1.00,5,0.04,599.36,2,0,24,2,1,181.19,1,13,3.00,2.00,1,0.00,0,0,0,1,1,1,0.00,0.00,java.lang.Object,136.42,0,0,0,107.88,0,30,0.00,2,2,0,2,0
"BaseHierarchicalConfiguration$BuilderVisitor",5,0.00,2.60,36,0.49,39262.07,5,0,24,5,4,67.33,58,72,26.00,5.00,8,0.50,0,1,5,4,2,8,0.00,0.00,org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter,107.75,0,0,0,1483.02,0,296,0.00,13,0,0,3,4
"BaseHierarchicalConfiguration$EventListener<ConfigurationEvent>",1,0.00,1.00,3,0.02,175.66,1,0,24,1,1,135.30,0,8,1.00,1.00,1,0.00,0,0,1,1,1,0,0.00,0.00,java.lang.Object,135.30,0,0,0,50.19,1,14,0.00,1,0,0,2,0
"BaseHierarchicalConfiguration$InterpolatedVisitor",13,0.25,1.38,51,0.74,21202.96,15,2,24,13,3,91.97,77,116,15.00,35.00,3,0.50,0,1,6,3,2,12,0.27,0.00,org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter,123.24,0,0,0,2219.80,1,483,0.00,18,7,0,1,8
"BaseNonStringProperties",23,0.00,1.00,66,0.70,10601.48,25,2,3,24,4,166.11,5,137,12.00,0.00,1,0.00,2,0,23,2,1,1,0.50,2.00,java.lang.Object,132.72,1,0,1,2107.23,2,509,0.00,23,0,2,2,0
"BasePathLocationStrategy",1,0.00,3.00,7,0.10,1944.30,1,0,3,1,6,152.19,21,18,13.00,1.00,3,0.00,0,0,0,4,1,2,0.00,0.00,java.lang.Object,112.89,0,1,0,286.83,0,62,0.00,3,1,3,1,0
"BaseWebConfiguration",5,0.00,1.20,14,0.17,4156.48,5,0,2,5,5,85.86,54,33,13.00,5.00,2,0.25,5,2,2,1,3,6,0.00,1.67,org.apache.commons.configuration2.AbstractConfiguration,131.05,0,0,0,517.35,3,123,0.02,6,3,4,1,0
"BasicBuilderParameters",29,0.03,1.76,138,1.83,61124.69,41,12,13,29,34,69.23,268,300,18.00,468.00,4,0.00,10,0,7,11,1,38,0.11,10.00,java.lang.Object,119.15,0,1,0,5504.84,1,1159,0.00,51,22,23,1,11
