Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbsoluteNameLocationStrategy",1,0.00,3.00,7,0.09,2061.02,1,0,3,1,6,138.97,19,16,13.00
"AbstractCombinerTest",4,0.11,1.00,19,0.24,4577.13,7,3,10,5,11,83.64,26,34,17.00
"AbstractConfiguration",111,0.12,1.42,467,5.41,167373.00,118,7,30,111,59,79.18,790,935,17.00
"AbstractConfiguration$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,260.46,1,0,30,1,1,133.95,0,8,3.00
"AbstractEventListenerTestImpl",6,0.20,1.33,23,0.25,4615.80,8,2,5,6,5,92.00,37,43,5.00
"AbstractHierarchicalConfiguration",37,0.46,1.51,180,2.35,81697.63,39,2,24,37,20,73.28,398,350,22.00
"AbstractHierarchicalConfiguration$DefinedKeysVisitor",6,0.20,1.33,26,0.28,6110.97,8,2,24,6,2,93.13,35,46,9.00
"AbstractHierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.09,1624.23,4,1,24,3,2,85.25,24,21,24.00
"AbstractImmutableNodeHandler",14,0.00,1.21,38,0.52,11297.54,14,0,4,14,8,163.76,34,92,15.00
"AbstractImmutableNodeHandlerTest",26,0.00,1.19,136,2.21,63567.73,26,0,12,26,6,126.74,92,261,23.00
"AbstractImmutableNodeHandlerTest$DummyNodeMatcher",1,0.00,1.00,3,0.04,479.65,1,0,12,1,2,152.48,3,7,5.00
"AbstractImmutableNodeHandlerTest$NodeMatcher<ImmutableNode>",1,0.00,1.00,4,0.05,1064.78,1,0,12,1,2,124.47,0,10,7.00
"AbstractListDelimiterHandler",8,0.00,2.00,36,0.54,25323.92,8,0,5,8,6,81.05,96,73,16.00
"AbstractMultiFileConfigurationBuilderTest",5,0.25,1.20,18,0.18,2946.10,8,3,5,5,7,84.37,36,42,14.00
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.69,10524.91,15,5,3,10,9,104.11,47,105,10.00
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,71.17,15,27,6.00
"AbstractXPathTest",6,0.07,1.83,49,0.52,18348.97,14,8,9,6,7,60.43,49,71,11.00
"AbstractYAMLBasedConfiguration",6,0.00,1.83,38,0.48,21006.13,6,0,5,6,7,63.62,50,72,15.00
"AlwaysReloadingDetector",2,0.00,1.00,4,0.02,146.96,2,0,0,2,2,112.62,12,12,1.00
"AppletConfiguration",3,0.50,1.33,15,0.17,6745.86,4,1,3,3,2,95.11,16,24,7.00
"AutoSaveListener",7,0.00,1.57,26,0.23,3734.08,11,4,7,8,7,79.02,69,57,11.00
"BaseConfiguration",10,0.11,1.50,44,0.55,19152.77,11,1,7,11,31,70.89,88,92,9.00
"BaseConfigurationBuilderProvider",16,0.09,1.56,76,0.91,24702.27,21,5,11,16,14,80.47,187,161,15.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,868.71,7,1,0,6,3,92.19,44,33,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,811.12,2,0,0,2,1,81.72,16,17,3.00
"BaseEventSource",17,0.06,1.53,65,0.79,19631.95,20,3,4,18,11,75.84,167,142,12.00
"BaseHierarchicalConfiguration",33,0.97,1.42,173,2.09,64936.92,34,1,24,33,56,69.79,264,341,18.00
"BaseHierarchicalConfiguration$BaseHierarchicalConfiguration",2,0.00,1.00,5,0.03,517.97,2,0,24,2,1,181.69,1,13,3.00
