Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractCombinerTest",4,0.11,1.00,17,0.18,2960.04,7,3,9,5,10,86.94,26,30,7.00
"AbstractConfiguration",66,0.05,1.95,358,4.11,153925.87,80,14,22,66,64,78.84,429,718,18.00
"AbstractConfiguration$ConfigurationErrorListener",1,0.00,1.00,3,0.02,187.33,1,0,22,1,1,135.08,0,7,3.00
"AbstractConfiguration$StrLookup",1,0.00,1.00,4,0.04,1072.32,1,0,22,1,0,124.45,0,9,3.00
"AbstractFileConfiguration",55,0.01,1.76,273,2.53,63294.84,67,12,17,57,22,77.41,391,574,18.00
"AbstractHierarchicalFileConfiguration",57,0.18,1.04,158,1.26,17046.53,58,1,16,57,19,170.31,128,330,12.00
"AbstractHierarchicalFileConfiguration$FileConfigurationDelegate",3,0.00,1.00,7,0.06,667.64,3,0,16,3,3,183.49,5,16,3.00
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.68,10452.58,15,5,3,10,8,104.13,47,105,10.00
"AbstractTestFileConfigurationEvents",5,0.00,1.00,31,0.38,6160.28,5,0,7,5,8,82.29,31,53,10.00
"AbstractTestFileConfigurationEvents$AlwaysReloadingStrategy",4,0.00,1.00,6,0.02,132.31,4,0,7,4,2,201.40,5,16,2.00
"AbstractTestFileConfigurationEvents$ConfigurationListener",1,0.00,1.00,3,0.02,116.51,1,0,7,1,1,136.70,0,7,2.00
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,71.17,15,27,6.00
"AbstractXPathTest",6,0.03,1.83,42,0.43,14550.20,12,6,7,6,6,63.72,49,66,9.00
"AppletConfiguration",3,0.50,1.33,15,0.16,6227.42,4,1,3,3,2,95.38,16,22,7.00
"BaseConfiguration",8,0.00,1.75,42,0.54,23502.05,9,1,6,9,24,67.28,78,82,9.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,868.71,7,1,0,6,3,92.19,44,33,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,811.12,2,0,0,2,1,81.72,16,17,3.00
"BaseNonStringProperties",23,0.00,1.00,66,0.68,9561.24,25,2,2,24,4,166.46,5,137,12.00
"BaseWebConfiguration",5,0.00,1.20,14,0.16,4089.32,5,0,3,5,6,85.91,54,31,13.00
"BeanDeclaration",5,0.00,1.00,6,0.20,3028.84,5,0,1,5,14,96.22,43,8,0.00
"BeanFactory",2,0.00,1.00,3,0.07,1001.78,2,0,0,2,7,105.38,24,6,0.00
"BeanHelper",17,0.34,2.47,105,1.41,68130.07,19,2,12,18,10,67.19,183,228,22.00
"CatalogResolver",10,0.08,1.50,50,0.56,16571.38,17,7,17,12,5,69.60,95,90,8.00
"CatalogResolver$Catalog",3,0.00,5.33,62,0.93,54027.09,5,2,17,4,3,37.43,26,122,59.00
"CatalogResolver$CatalogManager",8,0.11,1.50,32,0.31,8014.89,12,4,17,9,1,110.91,38,63,5.00
"CombinedConfiguration",34,0.01,1.88,192,1.83,47787.35,47,13,20,36,34,80.84,411,330,16.00
"CombinedConfiguration$ConfigData",7,0.07,1.57,44,0.35,9662.84,12,5,20,7,5,70.01,53,68,14.00
"CompositeConfiguration",26,0.04,2.38,179,1.64,54460.18,29,3,8,27,12,65.92,202,301,16.00
"Configuration",41,0.00,1.00,42,23.84,1021098.09,41,0,5,41,66,92.61,458,44,0.00
"ConfigurationAssert",6,0.20,1.50,31,0.34,10429.91,10,4,5,7,27,68.76,52,48,9.00
"ConfigurationBuilder",1,0.00,1.00,2,0.01,72.32,1,0,0,1,4,96.79,8,4,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,5,96.19,8,4,0.00
"ConfigurationConverter",6,0.00,1.50,31,0.36,12780.16,6,0,7,6,7,72.13,45,46,12.00
"ConfigurationDynaBean",11,0.30,2.82,79,1.07,41688.29,13,2,10,12,6,108.70,45,144,25.00
"ConfigurationDynaClass",5,0.12,4.00,52,0.65,31079.83,7,2,9,6,2,118.75,16,97,24.00
