Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ArrayHandler",3,0.50,1.00,10,0.08,1057.04,5,2,5,4,10,91.25,35,14,5.00
"ArrayHandlerTest",3,0.00,1.00,15,0.16,2886.67,3,0,3,3,3,161.09,6,19,10.00
"ArrayListHandler",3,1.00,1.00,9,0.06,626.17,4,1,3,3,4,85.38,29,13,4.00
"ArrayListHandlerTest",3,0.00,1.33,21,0.24,5019.33,3,0,5,3,3,153.67,6,26,13.00
"BaseTestCase",4,0.04,1.00,37,0.56,15481.40,13,9,18,10,18,59.44,31,76,7.00
"BasicRowProcessor",7,0.17,1.29,35,0.33,8936.47,10,3,7,9,6,70.17,63,39,8.00
"BasicRowProcessor$CaseInsensitiveHashMap",5,0.00,1.20,15,0.18,2540.15,5,0,7,5,0,131.85,20,22,7.00
"BasicRowProcessorTest",5,0.12,1.60,63,0.86,22362.06,7,2,7,7,4,129.59,13,73,12.00
"BeanHandler",3,0.25,1.00,10,0.10,1419.10,5,2,4,3,4,95.22,37,14,5.00
"BeanHandlerTest",3,0.00,1.00,15,0.17,3199.75,3,0,4,3,4,160.74,6,19,13.00
"BeanListHandler",3,0.25,1.00,10,0.08,1021.58,5,2,3,3,4,96.34,37,14,4.00
"BeanListHandlerTest",3,0.00,1.33,22,0.27,5870.02,3,0,6,3,4,152.38,6,27,16.00
"BeanProcessor",10,0.39,4.90,132,2.14,126756.33,12,2,15,11,2,121.28,189,186,37.00
"BeanProcessorTest",2,1.00,1.50,13,0.12,2589.88,3,1,1,3,3,115.82,0,17,10.00
"ColumnListHandler",4,0.33,1.25,13,0.10,1774.63,6,2,2,4,2,82.30,40,20,4.00
"ColumnListHandlerTest",5,0.00,1.00,29,0.35,5763.96,5,0,4,5,3,165.05,3,35,12.00
"DbUtils",17,0.00,2.12,68,0.60,11864.21,17,0,5,17,1,84.83,116,121,11.00
"GenericListHandler",2,0.00,1.50,7,0.07,1161.31,2,0,5,2,5,80.12,20,10,6.00
"KeyedHandler",8,0.24,1.12,26,0.21,3113.00,11,3,6,8,4,98.65,101,37,6.00
"KeyedHandlerTest",5,0.00,1.60,59,0.81,21035.87,5,0,5,5,3,102.11,0,68,15.00
"MapHandler",3,1.00,1.00,9,0.07,922.74,4,1,4,3,4,87.53,32,13,5.00
"MapHandlerTest",3,0.00,1.00,15,0.17,2833.66,3,0,4,3,3,161.15,6,19,11.00
"MapListHandler",3,1.00,1.00,9,0.06,626.17,4,1,3,3,4,86.23,30,13,4.00
"MapListHandlerTest",3,0.00,1.33,21,0.26,5107.27,3,0,6,3,3,153.61,6,26,13.00
"MockResultSet",19,0.03,2.58,126,1.99,79876.30,23,4,8,19,4,108.39,79,179,24.00
"MockResultSetMetaData",3,1.00,2.67,21,0.33,13615.63,4,1,3,3,3,97.86,14,31,30.00
"ProxyFactory",9,0.02,1.00,27,0.38,6034.91,17,8,9,11,8,81.57,75,64,12.00
"ProxyFactoryTest",8,0.14,1.00,18,0.21,2416.07,9,1,9,9,2,187.83,7,37,7.00
"ProxyFactoryTest$InvocationHandler",1,0.00,1.00,3,0.02,290.57,1,0,9,1,0,133.57,0,6,5.00
"QueryLoader",5,0.25,1.40,22,0.21,5345.28,7,2,5,7,2,73.36,48,30,7.00
"QueryLoaderTest",2,1.00,1.50,14,0.15,4066.68,3,1,2,2,2,103.85,9,20,11.00
"QueryRunner",26,0.96,1.35,116,1.38,41555.80,27,1,8,26,2,77.99,290,175,15.00
"ResultSetHandler",1,0.00,1.00,2,0.02,130.06,1,0,2,1,16,105.33,12,3,0.00
"ResultSetIterator",6,0.20,1.50,25,0.19,2605.63,8,2,3,7,3,76.99,52,38,5.00
"ResultSetIteratorTest",2,0.00,1.50,16,0.15,3573.99,2,0,1,2,2,121.65,7,20,9.00
"RowProcessor",4,0.00,1.00,5,0.25,5120.82,4,0,4,4,10,98.56,44,6,0.00
"ScalarHandler",4,0.33,1.50,15,0.12,2354.09,6,2,3,4,2,79.80,41,24,5.00
"ScalarHandlerTest",5,0.00,1.00,22,0.21,2924.26,5,0,3,5,3,124.98,0,28,8.00
"SqlNullCheckedResultSet",45,0.02,1.00,128,0.95,15212.56,69,24,16,47,4,90.61,321,177,29.00
"SqlNullCheckedResultSetMockBlob",11,0.00,1.00,21,0.19,2015.72,11,0,0,11,1,142.47,0,34,6.00
"SqlNullCheckedResultSetMockClob",13,0.00,1.00,25,0.19,1773.33,13,0,0,13,1,143.36,0,40,7.00
"SqlNullCheckedResultSetMockRef",4,0.00,1.00,8,0.05,393.43,4,0,0,4,1,143.85,0,13,4.00
"SqlNullCheckedResultSetTest",43,0.49,1.12,432,5.72,193247.60,45,2,22,43,7,100.79,181,488,21.00
"SqlNullUncheckedMockResultSet",1,0.00,9.00,20,0.29,12411.08,1,0,0,1,1,88.40,4,25,52.00
"StringTrimmedResultSet",3,0.25,1.67,14,0.16,4406.32,5,2,4,4,3,126.70,50,22,8.00
"StringTrimmedResultSetTest",5,0.00,1.00,21,0.24,3679.89,5,0,5,5,5,164.83,10,28,7.00
"TestBean",21,0.01,1.00,53,0.30,2867.93,31,10,0,22,4,188.83,23,75,0.00
System overview for No System Name
Name, No. Packages, NOS, AVCC, HBUG, HEFF, MI, CCML, NLOC
"No System Name",3,2090,1.40,21.74,659886.72,68.37,2766,2795
