Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractKeyedHandler",4,0.00,1.25,10,0.13,2710.89,4,0,5,4,3,85.94,41,15,7.00
"AbstractListHandler",2,0.00,1.50,7,0.10,2389.75,2,0,5,2,4,88.56,24,11,8.00
"AbstractQueryRunner",22,0.17,2.50,161,1.91,108117.92,25,3,16,22,5,81.76,291,235,30.00
"ArrayHandler",3,0.00,1.00,11,0.10,1750.01,6,3,5,5,13,95.69,38,16,5.00
"ArrayHandlerTest",2,0.00,1.00,13,0.16,3703.45,2,0,6,2,3,161.68,3,16,9.00
"ArrayListHandler",3,1.00,1.00,9,0.07,849.20,4,1,3,3,4,84.34,29,14,4.00
"ArrayListHandlerTest",2,0.00,1.00,26,0.37,11753.79,2,0,5,2,3,146.50,3,29,12.00
"AsyncQueryRunner",23,0.09,1.00,52,1.73,44948.12,25,2,8,23,4,88.51,257,64,18.00
"AsyncQueryRunner$BatchCallableStatement",2,0.60,2.00,21,0.20,4623.06,7,5,8,2,0,59.34,21,29,6.00
"AsyncQueryRunner$Callable<Integer>",1,0.00,1.00,3,0.03,381.50,1,0,8,1,0,132.64,0,6,4.00
"AsyncQueryRunner$Callable<Integer>_4",1,0.00,1.00,3,0.03,403.65,1,0,8,1,0,132.45,0,6,4.00
"AsyncQueryRunner$Callable<Integer>_5",1,0.00,1.00,3,0.03,403.65,1,0,8,1,0,132.45,0,6,4.00
"AsyncQueryRunner$Callable<Integer>_6",1,0.00,1.00,3,0.03,360.00,1,0,8,1,0,132.84,0,6,4.00
"AsyncQueryRunner$Callable<Integer>_7",1,0.00,1.00,3,0.03,381.50,1,0,8,1,0,132.64,0,6,4.00
"AsyncQueryRunner$Callable<Integer>_8",1,0.00,1.00,3,0.03,381.50,1,0,8,1,0,132.64,0,6,4.00
"AsyncQueryRunner$Callable<T>",1,0.00,1.00,3,0.03,316.91,1,0,8,1,0,133.28,0,6,2.00
"AsyncQueryRunner$Callable<T>_1",1,0.00,1.00,3,0.02,294.30,1,0,8,1,0,133.53,0,6,2.00
"AsyncQueryRunner$Callable<T>_10",1,0.00,1.00,3,0.02,294.30,1,0,8,1,0,133.53,0,6,2.00
"AsyncQueryRunner$Callable<T>_11",1,0.00,1.00,3,0.02,294.30,1,0,8,1,0,133.53,0,6,2.00
"AsyncQueryRunner$Callable<T>_12",1,0.00,1.00,3,0.03,316.91,1,0,8,1,0,133.28,0,6,2.00
"AsyncQueryRunner$Callable<T>_13",1,0.00,1.00,3,0.02,294.30,1,0,8,1,0,133.53,0,6,2.00
"AsyncQueryRunner$Callable<T>_14",1,0.00,1.00,3,0.03,316.91,1,0,8,1,0,133.28,0,6,2.00
"AsyncQueryRunner$Callable<T>_2",1,0.00,1.00,3,0.02,294.30,1,0,8,1,0,133.53,0,6,2.00
"AsyncQueryRunner$Callable<T>_3",1,0.00,1.00,3,0.02,272.00,1,0,8,1,0,133.80,0,6,2.00
"AsyncQueryRunner$Callable<T>_9",1,0.00,1.00,3,0.02,272.00,1,0,8,1,0,133.80,0,6,2.00
"AsyncQueryRunner$Callable<int[]>",1,0.00,1.00,3,0.03,356.53,1,0,8,1,0,132.88,0,6,1.00
"AsyncQueryRunner$Callable<int[]>_0",1,0.00,1.00,3,0.02,331.08,1,0,8,1,0,133.13,0,6,1.00
"AsyncQueryRunner$QueryCallableStatement",2,0.67,2.00,27,0.26,6824.93,8,6,8,2,1,56.43,22,38,7.00
"AsyncQueryRunner$UpdateCallableStatement",2,0.60,2.00,21,0.19,4219.25,7,5,8,2,0,62.14,22,29,6.00
"AsyncQueryRunnerTest",42,0.16,1.14,234,3.65,81861.19,49,7,22,42,3,162.33,22,324,18.00
"AsyncQueryRunnerTest$MyBean",6,0.20,1.00,16,0.08,781.52,9,3,20,6,0,182.99,3,11,0.00
"BaseResultSetHandler",192,0.01,1.01,390,4.47,71105.02,193,1,21,192,2,107.16,1147,590,13.00
"BaseResultSetHandlerTest",1,0.00,2.00,18,0.23,9693.91,1,0,6,1,1,92.32,0,19,10.00
"BaseResultSetHandlerTest$ToMapCollectionHandler",1,0.00,3.00,12,0.19,8261.44,1,0,6,1,1,99.21,0,15,10.00
"BaseResultSetHandlerTestCase",1,0.00,2.00,18,0.23,9693.91,1,0,6,1,1,92.32,0,19,10.00
"BaseResultSetHandlerTestCase$ToMapCollectionHandler",1,0.00,3.00,12,0.19,8261.44,1,0,6,1,1,99.21,0,15,10.00
"BaseTestCase",4,0.17,1.00,25,0.37,7153.87,14,10,6,9,18,69.75,30,66,4.00
"BasicRowProcessor",7,0.17,1.43,38,0.45,16980.55,10,3,8,9,6,80.13,85,48,9.00
"BasicRowProcessor$CaseInsensitiveHashMap",5,0.12,1.20,25,0.35,7519.24,7,2,8,6,0,71.15,50,34,10.00
"BasicRowProcessorTest",5,0.12,1.00,91,1.48,45342.01,7,2,8,7,4,135.65,9,98,13.00
"BeanHandler",3,0.25,1.00,10,0.13,2442.11,5,2,4,3,4,96.09,38,15,5.00
"BeanHandlerTest",4,0.00,1.00,29,0.44,10808.95,4,0,4,4,4,160.53,3,34,15.00
"BeanHandlerTest$SubTestBean",0,0.00,0.00,1,0.01,23.26,0,0,4,0,1,171.00,0,1,0.00
"BeanHandlerTest$SubTestBeanInterface",4,0.00,1.00,5,0.13,1428.76,4,0,4,4,0,147.05,0,6,0.00
"BeanListHandler",3,0.25,1.00,10,0.12,2231.39,5,2,5,3,4,102.26,40,15,5.00
"BeanListHandlerTest",4,0.00,1.00,70,1.15,40963.73,4,0,6,4,4,141.70,3,75,24.00
"BeanListHandlerTest$SubTestBean",0,0.00,0.00,1,0.01,23.26,0,0,6,0,1,171.00,0,1,0.00
"BeanListHandlerTest$SubTestBeanInterface",4,0.00,1.00,5,0.13,1428.76,4,0,6,4,0,147.05,0,6,0.00
"BeanMapHandler",7,0.12,1.00,23,0.28,4727.21,11,4,3,7,4,130.14,113,37,28.00
"BeanMapHandlerTest",7,0.23,1.00,34,0.51,11341.48,12,5,11,7,3,119.89,0,48,21.00
"BeanProcessor",15,0.13,3.00,139,1.93,102277.35,20,5,16,17,5,108.76,248,192,30.00
"BeanProcessorTest",4,0.33,1.50,49,0.77,24043.15,5,1,6,5,5,100.31,0,52,35.00
"BeanProcessorTest$MapColumnToPropertiesBean",8,0.14,1.00,21,0.11,1058.54,12,4,6,8,0,138.43,0,30,0.00
"BooleanColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"BooleanColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
